gene,log2FoldChange,p_value,adj_p_value,significant
ENSG00000000003.15,-0.20997710572158157,2.2246647412947083e-30,1.3930598761148825e-29,False
ENSG00000000419.13,0.0648804727958181,9.823974317039144e-17,3.066573171876365e-16,False
ENSG00000000457.14,0.08725511011800391,1.040646936815664e-05,1.7026715903686778e-05,False
ENSG00000000460.17,0.3862804875996002,5.143428810642626e-34,3.791650718960628e-33,False
ENSG00000000938.13,-0.15106709075765723,4.0385685230657114e-08,7.782604351614495e-08,False
ENSG00000000971.16,-0.3422438956181071,2.4503166967582542e-32,1.680882813807626e-31,False
ENSG00000001036.14,0.07244732067010462,1.3569015608163726e-10,3.034149642930452e-10,False
ENSG00000001084.13,-0.11430950110467109,2.5988929236834367e-15,7.517174337738007e-15,False
ENSG00000001167.14,0.11620486960398901,2.961318001041605e-12,7.254223635855388e-12,False
ENSG00000001460.18,-0.03909124355196281,0.014191569152965586,0.018121962179631468,False
ENSG00000001461.17,-0.10433017134553868,2.3681540911047844e-06,4.0550148578880185e-06,False
ENSG00000001497.18,0.12062454775720965,1.934742898697224e-11,4.524397359213886e-11,False
ENSG00000001561.7,-0.14074591683960458,3.926072830506099e-14,1.0681956476376162e-13,False
ENSG00000001617.12,0.19806353233060348,1.0242993930593174e-21,4.1690517852406946e-21,False
ENSG00000001629.10,0.03487162241129571,0.01417095020507786,0.018097025373484843,False
ENSG00000001630.17,0.19697097051254375,9.547667835163073e-07,1.6795717169161033e-06,False
ENSG00000001631.16,-0.006587136267859783,0.6637010803151648,0.6912355317109047,False
ENSG00000002016.18,-0.08136050649862381,3.694788874146654e-05,5.8230911366311685e-05,False
ENSG00000002330.14,0.13059150722002455,2.18948552516431e-09,4.569528713944984e-09,False
ENSG00000002549.12,0.032259206337829305,5.152470133537499e-05,8.03345761495079e-05,False
ENSG00000002586.20,0.0042608864942073055,0.7446638012620082,0.7672742078945523,False
ENSG00000002587.10,-0.19426012526580871,9.291424339476298e-08,1.7508732170028355e-07,False
ENSG00000002834.18,0.07720488080571242,4.250041329969287e-11,9.765326201815335e-11,False
ENSG00000002919.15,0.007626138285805162,0.38018081828559547,0.4130095252786364,False
ENSG00000002933.9,-0.10143458172598008,1.701808164696552e-07,3.153875886193275e-07,False
ENSG00000003056.8,0.0014747371306116364,0.9017070905993961,0.9125405538456046,False
ENSG00000003096.14,-0.9890638135741203,3.820669629479148e-52,6.397597561208575e-51,True
ENSG00000003137.8,-0.669063865029458,1.949729283534648e-34,1.462649535758316e-33,True
ENSG00000003147.19,0.13845967220250088,5.254773730264585e-11,1.200905044484376e-10,False
ENSG00000003249.15,0.5002721611919076,5.512252194653047e-27,2.937389624857825e-26,True
ENSG00000003393.15,-0.04819595357403195,0.0009531271225257382,0.001350426184357249,False
ENSG00000003400.15,-0.33545501260315147,1.3334502023559087e-34,1.0071585187935342e-33,False
ENSG00000003402.20,-0.2756942529584441,3.606776325233182e-57,7.595285068644597e-56,False
ENSG00000003436.16,-0.6794078208772658,1.0263032202798926e-78,5.114256948145507e-77,True
ENSG00000003509.16,-0.0031917225296225205,0.7757006796491355,0.7967503868969934,False
ENSG00000003756.17,-0.11978995092881872,2.491404179917998e-14,6.84362869749367e-14,False
ENSG00000003989.18,-0.1951464895112749,1.956113910457464e-09,4.097419115139e-09,False
ENSG00000004059.11,0.12210779751727152,5.890506427394535e-24,2.6846213583132355e-23,False
ENSG00000004139.14,-0.2186680306529658,1.3866310753204143e-12,3.45647529876325e-12,False
ENSG00000004142.12,0.06086765435534014,1.0601420633428423e-22,4.517718900644871e-22,False
ENSG00000004399.13,-0.02396648525212086,0.08752097866790512,0.1031040124957559,False
ENSG00000004455.17,0.03130278154499955,8.444692151830105e-05,0.00012972710754255578,False
ENSG00000004468.13,-0.17142078720977616,7.052209983986817e-06,1.168374325821458e-05,False
ENSG00000004478.8,0.2544026217480151,1.1721725315091727e-25,5.823661972414135e-25,False
ENSG00000004487.17,0.07829401895204313,3.912675657720081e-10,8.523951669188266e-10,False
ENSG00000004534.15,-0.07144271899513299,1.0323888340567662e-07,1.940802119897811e-07,False
ENSG00000004660.15,-0.015575628943127917,0.54096672443843,0.5729751595922198,False
ENSG00000004700.16,-0.06506820168642102,0.0003783521822249916,0.0005531382833492183,False
ENSG00000004766.17,-0.030911811554612978,0.05834413403746368,0.0701160602706889,False
ENSG00000004776.13,-1.292746833229455,1.9668524354702966e-76,8.966469591811567e-75,True
ENSG00000004777.18,0.23580653806753138,2.4819422778904814e-10,5.472409003363626e-10,False
ENSG00000004779.10,0.12672210307052456,8.859300501552378e-60,2.0361666554398913e-58,False
ENSG00000004799.8,-0.8165148478927904,5.0419724689304765e-93,4.268698528032262e-91,True
ENSG00000004838.14,0.6292539337067755,9.694657944532493e-24,4.381077176785735e-23,True
ENSG00000004864.14,0.06784495201431273,2.1392978257360275e-05,3.426593447901896e-05,False
ENSG00000004866.22,0.013363268272395423,0.13710527384553173,0.1579947857078301,False
ENSG00000004897.12,-0.013433331443762242,0.14665855609977282,0.16858216125794057,False
ENSG00000004961.15,0.06346315770852717,8.522604913895889e-17,2.671403587857733e-16,False
ENSG00000004975.12,-0.024849802655349862,0.1092895149887125,0.1273471112788916,False
ENSG00000005001.10,0.5073727930179619,4.7654490686060755e-12,1.1525704976599506e-11,True
ENSG00000005007.13,0.06573606744926241,3.4447384334513968e-06,5.835833544123786e-06,False
ENSG00000005020.13,-0.34198341028979273,1.0214282120089154e-84,6.544239285743607e-83,False
ENSG00000005022.6,0.07712224579440319,4.971547626065634e-17,1.5764926678183283e-16,False
ENSG00000005059.16,0.13415004555633692,8.771602387002867e-13,2.2141157592017884e-12,False
ENSG00000005075.15,0.14471066432709057,2.921621376291787e-41,2.965222331387518e-40,False
