gene,log2FoldChange,p_value,adj_p_value,significant,neg_log10_p
ENSG00000003096.14,-0.9890638135741203,3.820669629479148e-52,6.397597561208575e-51,True,50.193983082545664
ENSG00000003137.8,-0.669063865029458,1.949729283534648e-34,1.462649535758316e-33,True,32.834859722350174
ENSG00000003249.15,0.5002721611919076,5.512252194653047e-27,2.937389624857825e-26,True,25.53203844343196
ENSG00000003436.16,-0.6794078208772658,1.0263032202798926e-78,5.114256948145507e-77,True,76.29121745613791
ENSG00000004776.13,-1.292746833229455,1.9668524354702966e-76,8.966469591811567e-75,True,74.04737852001048
ENSG00000004799.8,-0.8165148478927904,5.0419724689304765e-93,4.268698528032262e-91,True,90.36970451566577
ENSG00000004838.14,0.6292539337067755,9.694657944532493e-24,4.381077176785735e-23,True,22.35841909624959
ENSG00000005001.10,0.5073727930179619,4.7654490686060755e-12,1.1525704976599506e-11,True,10.938332501245613
ENSG00000005102.14,-1.042255865238373,3.8168652200217637e-147,1.759362818362254e-144,True,143.75464459046614
ENSG00000005108.16,-0.5175279594107711,4.623171989571688e-38,4.072023141982621e-37,True,36.39018976249674
ENSG00000005187.12,-0.5732743558736701,1.3300210251379025e-18,4.595121568007152e-18,True,17.33770299448107
ENSG00000006118.15,0.5983253398350832,2.36970022294288e-25,1.158939154126559e-24,True,23.93593936448571
ENSG00000006210.7,-0.6211570167937444,1.535811481464267e-56,3.1541158073537183e-55,True,54.50112236504283
ENSG00000007062.12,-0.6171503041561057,1.155204063893183e-11,2.7341971525094107e-11,True,10.56317017332346
ENSG00000007216.15,-0.9404141737856022,1.013111002171987e-21,4.125537170562442e-21,True,20.38451949559344
ENSG00000007968.7,0.8132134617553237,8.886391939453223e-41,8.814153487345296e-40,True,39.05481939107063
ENSG00000008300.17,0.6167782191855264,8.844610985026665e-50,1.3282124405930542e-48,True,47.87673245629443
ENSG00000008311.15,-0.5762036565880819,4.112050899823245e-78,2.01284285049165e-76,True,75.69619013063965
ENSG00000008735.14,0.6701418723679675,9.818163542749961e-31,6.2398546851165396e-30,True,29.204825524129575
ENSG00000009950.16,-1.1270194632470711,1.2112059417440804e-50,1.8943215266070944e-49,True,48.72254630549107
ENSG00000010319.7,-0.6963368478892709,2.717910240209484e-82,1.560588322700214e-80,True,79.8067116470718
ENSG00000011426.11,1.0052712956719376,9.269159289251487e-49,1.3168872366938287e-47,True,46.88045141150617
ENSG00000013297.12,-0.9458841172060504,9.455722905417573e-82,5.355230917832737e-80,True,79.27122179762796
ENSG00000013810.20,0.6614173139188548,2.870604580470348e-51,4.60684839538926e-50,True,49.33659607950535
ENSG00000015413.9,0.6685857482674658,1.4225544572168935e-47,1.9083159792285474e-46,True,45.719349713136324
ENSG00000018236.15,-0.5555350110907089,4.262994862023975e-31,2.754678221979199e-30,True,29.559929124427626
ENSG00000018280.17,0.5034173035274914,3.4910295761215295e-26,1.782465993420328e-25,True,24.748978747036144
ENSG00000018625.15,-1.533382459267075,3.1737269650610644e-91,2.4269504727291845e-89,True,88.61493908631326
ENSG00000019102.12,-0.7382097299681911,1.4157608233732355e-29,8.544265932116484e-29,True,28.06832524310421
ENSG00000019169.10,-0.801063857380887,5.580434161454165e-32,3.749057671059531e-31,True,30.426077878855516
ENSG00000019505.8,0.8330565876827789,5.17183912211773e-32,3.481602368860917e-31,True,30.458220830826527
ENSG00000020577.14,-0.5434185010952857,4.7561815766001185e-61,1.1521763077679177e-59,True,58.938481059426664
ENSG00000021826.17,-0.6744128938743561,1.669979690046679e-67,5.318933392828136e-66,True,65.27417544816566
ENSG00000022267.19,-0.8975315194012832,1.1706065355882865e-70,4.2598782569193035e-69,True,68.37060281242397
ENSG00000024526.17,1.0358232081604397,1.1807031986943147e-57,2.528075984404317e-56,True,55.597209876943616
ENSG00000025423.11,1.0065402985871759,6.993339920708395e-64,1.8993041349301982e-62,True,61.721405486265574
ENSG00000029559.7,1.3966509885401996,3.3978385589343945e-254,2.8191866523478673e-250,True,249.5498761694632
ENSG00000035499.13,0.9800540996745015,1.4784224694276258e-53,2.6351173423933427e-52,True,51.579200040785686
ENSG00000038295.8,-0.6190050540266372,1.9427342939658713e-46,2.504874349189562e-45,True,44.601214054556124
ENSG00000046653.15,-0.567417604247709,8.24969819818421e-34,6.022678922158767e-33,True,32.220210289087696
ENSG00000046889.19,-0.7927225251248435,6.221233541445212e-63,1.6308870361254636e-61,True,60.78757611945414
ENSG00000047457.14,-0.523656027437545,1.1489513691988915e-18,3.981975568188472e-18,True,17.399901408957902
ENSG00000047648.23,-0.5675176157370903,1.9080652502384522e-67,6.054002822649498e-66,True,65.2179573808917
ENSG00000048540.15,-0.716821165346635,1.0009971055458729e-31,6.660202874670495e-31,True,30.17651254169937
ENSG00000048740.18,-0.553174201950386,3.792758895930257e-69,1.2714553761427614e-67,True,66.89569887751347
ENSG00000049249.9,0.7106415194816709,4.617442777573361e-56,9.242683407847087e-55,True,54.03420192271584
ENSG00000049283.18,0.6594957500616929,3.1679653623210017e-18,1.0728411678031572e-17,True,16.969464569788535
ENSG00000049768.16,0.6763038839279905,7.0936293131241835e-37,5.918133977978014e-36,True,35.22781520726631
ENSG00000050628.20,-0.570933845724392,5.94534303191964e-38,5.203429444708572e-37,True,36.28371032982744
ENSG00000051180.17,0.8032559649359376,4.478344092192232e-53,7.814263077375172e-52,True,51.10711197177401
ENSG00000051341.14,0.8195143787470053,2.306403961959537e-55,4.4554676769216016e-54,True,53.35110670266053
ENSG00000053438.11,-1.0419545484325996,1.0289012371410568e-59,2.3549775350508548e-58,True,57.62801323140132
ENSG00000053747.17,-0.6971529459610581,8.087657340690517e-48,1.0982920480643764e-46,True,45.95928216079857
ENSG00000054967.13,0.5131515282985284,1.7146440265275807e-37,1.4681528883487447e-36,True,35.83322871614418
ENSG00000056998.20,-0.7827646140400972,4.898328006466578e-39,4.463638382169489e-38,True,37.35031099663987
