gene,count,gene_clean,query,symbol,name
ENSG00000029559.7,5,ENSG00000029559,ENSG00000029559,IBSP,integrin binding sialoprotein
ENSG00000232679.2,5,ENSG00000232679,ENSG00000232679,LINC02257,long intergenic non-protein coding RNA 2257
ENSG00000261742.6,5,ENSG00000261742,ENSG00000261742,LINC00922,long intergenic non-protein coding RNA 922
ENSG00000170965.10,5,ENSG00000170965,ENSG00000170965,PLAC1,placenta enriched 1
ENSG00000155886.11,5,ENSG00000155886,ENSG00000155886,SLC24A2,solute carrier family 24 member 2
ENSG00000123500.10,5,ENSG00000123500,ENSG00000123500,COL10A1,collagen type X alpha 1 chain
ENSG00000177234.7,5,ENSG00000177234,ENSG00000177234,LINC01561,long intergenic non-protein coding RNA 1561
ENSG00000187730.9,5,ENSG00000187730,ENSG00000187730,GABRD,gamma-aminobutyric acid type A receptor subunit delta
ENSG00000136158.12,5,ENSG00000136158,ENSG00000136158,SPRY2,sprouty RTK signaling antagonist 2
ENSG00000060718.22,5,ENSG00000060718,ENSG00000060718,COL11A1,collagen type XI alpha 1 chain
ENSG00000083782.8,5,ENSG00000083782,ENSG00000083782,EPYC,epiphycan
ENSG00000261327.5,5,ENSG00000261327,ENSG00000261327,LOC105371401,uncharacterized LOC105371401
ENSG00000170373.8,5,ENSG00000170373,ENSG00000170373,CST1,cystatin SN
ENSG00000175877.4,5,ENSG00000175877,ENSG00000175877,TMEM270,transmembrane protein 270
ENSG00000203740.4,5,ENSG00000203740,ENSG00000203740,NTMT2,N-terminal Xaa-Pro-Lys N-methyltransferase 2
ENSG00000101115.13,5,ENSG00000101115,ENSG00000101115,SALL4,spalt like transcription factor 4
ENSG00000124657.1,5,ENSG00000124657,ENSG00000124657,OR2B6,olfactory receptor family 2 subfamily B member 6
ENSG00000078596.11,5,ENSG00000078596,ENSG00000078596,ITM2A,integral membrane protein 2A
ENSG00000172156.4,5,ENSG00000172156,ENSG00000172156,CCL11,C-C motif chemokine ligand 11
ENSG00000203805.11,5,ENSG00000203805,ENSG00000203805,PLPP4,phospholipid phosphatase 4
ENSG00000215784.6,5,ENSG00000215784,ENSG00000215784,FAM72D,family with sequence similarity 72 member D
ENSG00000099953.10,5,ENSG00000099953,ENSG00000099953,MMP11,matrix metallopeptidase 11
ENSG00000106327.13,5,ENSG00000106327,ENSG00000106327,TFR2,transferrin receptor 2
ENSG00000196611.5,5,ENSG00000196611,ENSG00000196611,MMP1,matrix metallopeptidase 1
ENSG00000249001.5,5,ENSG00000249001,ENSG00000249001,DMP1-AS1,DMP1 and DSPP antisense RNA 1
ENSG00000127561.15,5,ENSG00000127561,ENSG00000127561,SYNGR3,synaptogyrin 3
ENSG00000131650.14,5,ENSG00000131650,ENSG00000131650,KREMEN2,kringle containing transmembrane protein 2
ENSG00000231123.1,5,ENSG00000231123,ENSG00000231123,SPATA20P1,spermatogenesis associated 20 pseudogene 1
ENSG00000187824.9,5,ENSG00000187824,ENSG00000187824,TMEM220,transmembrane protein 220
